"id","resignation_submission_id","number_of_employees","k1","k2","k3","k4","k5","k6","k7","created_at","updated_at"
"98",NULL,"2107043603","1","4","4","1","4","4","3","2022-11-10 07:46:07","2022-11-10 07:46:07"
"99",NULL,"2101039478","4","2","4","1","3","2","4","2022-11-10 08:21:29","2022-11-10 08:21:29"
"100",NULL,"2201050122","3","1","4","2","2","3","1","2022-11-10 08:48:40","2022-11-10 08:48:40"
"101",NULL,"2112049273","3","4","2","1","1","2","2","2022-11-10 08:49:23","2022-11-10 08:49:23"
"102",NULL,"2201050116","3","4","3","2","2","3","2","2022-11-10 09:02:27","2022-11-10 09:02:27"
"103",NULL,"2009036054","4","2","2","2","4","4","4","2022-11-10 09:25:02","2022-11-10 09:25:02"
"104",NULL,"1907025503","3","3","3","4","4","3","1","2022-11-10 10:04:59","2022-11-10 10:04:59"
"105",NULL,"2007034588","4","1","1","1","1","4","4","2022-11-10 14:12:25","2022-11-10 14:12:25"
"106",NULL,"2209056550","3","4","4","3","4","4","4","2022-11-10 21:48:19","2022-11-10 21:48:19"
"107",NULL,"2011037676","3","3","4","2","3","3","2","2022-11-11 06:03:41","2022-11-11 06:03:41"
"108",NULL,"2201050625","4","4","4","4","1","1","1","2022-11-11 06:04:40","2022-11-11 06:04:40"
"109",NULL,"2111048795","4","3","4","2","4","4","1","2022-11-11 07:50:00","2022-11-11 07:50:00"
"110",NULL,"2112048880","3","3","4","2","2","4","3","2022-11-11 07:57:56","2022-11-11 07:57:56"
"111",NULL,"2208055840","4","4","2","4","1","4","4","2022-11-11 09:27:50","2022-11-11 09:27:50"
"112",NULL,"2209056206","1","4","4","4","1","4","4","2022-11-11 09:33:41","2022-11-11 09:33:41"
"113",NULL,"2109045562","4","4","4","4","4","4","4","2022-11-11 10:36:08","2022-11-11 10:36:08"
"114",NULL,"2209056175","3","3","3","1","2","4","2","2022-11-11 10:44:53","2022-11-11 10:44:53"
"115",NULL,"2110047593","3","3","3","2","2","2","3","2022-11-11 10:55:06","2022-11-11 10:55:06"
"116",NULL,"2112048984","3","4","3","2","2","3","2","2022-11-11 11:32:42","2022-11-11 11:32:42"
"117",NULL,"2206054274","4","3","4","3","3","4","2","2022-11-11 13:19:28","2022-11-11 13:19:28"
"118",NULL,"2201050510","3","3","4","4","1","3","1","2022-11-11 18:58:47","2022-11-11 18:58:47"
"119",NULL,"2112049204","3","3","1","4","4","4","3","2022-11-11 19:38:24","2022-11-11 19:38:24"
"120",NULL,"2101039813","4","3","2","3","3","4","2","2022-11-12 08:58:37","2022-11-12 08:58:37"
"121",NULL,"2106043049","1","2","3","4","1","3","2","2022-11-12 10:59:08","2022-11-12 10:59:08"
"122",NULL,"2208055733","3","3","3","3","2","2","4","2022-11-13 05:45:31","2022-11-13 05:45:31"
"123",NULL,"1807013675","4","4","4","4","4","4","4","2022-11-13 13:07:06","2022-11-13 13:07:06"
"124",NULL,"1912029467","3","4","4","4","1","1","1","2022-11-13 16:57:11","2022-11-13 16:57:11"
"125",NULL,"2206054985","4","4","4","4","4","4","4","2022-11-14 08:04:44","2022-11-14 08:04:44"
"126",NULL,"1910027983","3","4","3","2","4","4","4","2022-11-14 08:34:33","2022-11-14 08:34:33"
"127",NULL,"2205053109","4","4","4","4","4","4","4","2022-11-14 08:39:30","2022-11-14 08:39:30"
"128",NULL,"1905023189","4","4","4","1","3","4","1","2022-11-14 08:56:46","2022-11-14 08:56:46"
"129",NULL,"1801010226","3","3","4","4","2","4","2","2022-11-14 08:57:42","2022-11-14 08:57:42"
"130",NULL,"2108043873","3","3","4","3","3","4","4","2022-11-14 09:57:45","2022-11-14 09:57:45"
"131",NULL,"2008034807","3","1","2","1","3","4","3","2022-11-14 10:06:27","2022-11-14 10:06:27"
"132",NULL,"2205053614","4","4","4","3","3","3","3","2022-11-14 10:07:21","2022-11-14 10:07:21"
"133",NULL,"2202050963","4","4","3","3","1","3","2","2022-11-14 10:39:03","2022-11-14 10:39:03"
"134",NULL,"1804012074","3","3","3","3","3","2","2","2022-11-14 10:49:20","2022-11-14 10:49:20"
"135",NULL,"1708008507","4","1","4","4","4","4","1","2022-11-14 14:05:44","2022-11-14 14:05:44"
"136",NULL,"2109045689","4","2","4","4","4","4","2","2022-11-14 14:32:58","2022-11-14 14:32:58"
"137",NULL,"1907025566","4","4","4","1","3","4","1","2022-11-15 05:23:37","2022-11-15 05:23:37"
"138",NULL,"2202051211","3","3","3","2","3","2","1","2022-11-15 06:33:28","2022-11-15 06:33:28"
"139",NULL,"2108044818","4","4","4","4","4","4","4","2022-11-15 07:45:11","2022-11-15 07:45:11"
"140",NULL,"2109045714","3","3","4","4","2","3","4","2022-11-15 07:57:33","2022-11-15 07:57:33"
"141",NULL,"1904022248","4","4","4","1","4","4","4","2022-11-15 07:59:42","2022-11-15 07:59:42"
"142",NULL,"1904021250","3","3","3","2","3","4","3","2022-11-15 08:02:44","2022-11-15 08:02:44"
"143",NULL,"1912029581","4","4","4","4","4","4","1","2022-11-15 09:24:57","2022-11-15 09:24:57"
"144",NULL,"2108044082","3","3","3","2","3","1","2","2022-11-15 10:00:37","2022-11-15 10:00:37"
"145",NULL,"2208055545","2","2","2","2","2","2","2","2022-11-15 10:38:53","2022-11-15 10:38:53"
"146",NULL,"2208055551","2","2","2","2","3","3","4","2022-11-15 10:39:02","2022-11-15 10:39:02"
"147",NULL,"1901019014","4","4","3","4","4","3","4","2022-11-15 11:01:35","2022-11-15 11:01:35"
"148",NULL,"1802010623","1","1","1","4","1","4","4","2022-11-15 12:58:45","2022-11-15 12:58:45"
"149",NULL,"2110047193","4","3","3","3","3","4","4","2022-11-15 13:22:51","2022-11-15 13:22:51"
"150",NULL,"1711009501","3","4","3","2","4","3","3","2022-11-15 14:35:41","2022-11-15 14:35:41"
